SERIALNUMBER	BOTTOM	COVERLAY	DIELECTRIC	INNER	ALL
20UPGPQ4611147	33.20	89.20	84.30	10.00	226.50	30.40
20UPGPQ4611149	33.70	86.70	84.80	10.50	228.50	29.90
20UPGPQ4611150	32.20	89.70	83.30	11.00	224.00	29.90
20UPGPQ4611152	32.70	88.70	83.30	12.00	227.50	32.40
20UPGPQ4611153	32.70	90.20	82.80	12.00	227.00	31.90
20UPGPQ4611154	32.70	88.20	84.30	10.00	225.00	30.40
20UPGPQ4611155	31.70	88.20	83.30	11.00	223.00	31.40
20UPGPQ4611156	33.20	88.20	83.80	10.00	226.50	28.90
20UPGPQ4611157	35.20	86.20	84.30	10.00	232.00	32.40
20UPGPQ4611158	33.20	88.20	83.30	11.00	229.00	33.40
20UPGPQ4611159	32.20	87.20	83.30	10.00	227.50	30.90
20UPGPQ4611160	32.70	88.70	83.30	10.00	227.00	29.90
20UPGPQ4611161	35.20	86.20	84.30	10.50	232.50	32.90
20UPGPQ4611162	32.20	89.20	82.80	12.00	226.50	31.90
20UPGPQ4611163	32.20	87.20	82.80	11.50	226.50	30.90
20UPGPQ4611164	31.70	89.70	82.30	12.50	227.50	32.90
20UPGPQ4611165	34.70	88.20	84.30	10.50	233.00	33.90
20UPGPQ4611166	32.70	88.70	83.80	10.50	230.50	30.90
20UPGPQ4611167	31.20	87.70	82.30	12.50	226.00	31.90
20UPGPQ4611168	31.70	86.70	82.80	12.00	226.50	31.40
20UPGPQ4611169	34.70	87.20	82.80	11.00	229.00	31.90
20UPGPQ4611170	34.20	89.20	84.30	10.00	228.00	30.40
20UPGPQ4611171	33.20	86.70	83.30	10.00	227.50	31.40
20UPGPQ4611172	34.20	87.70	82.80	12.50	229.50	33.90
20UPGPQ4611173	33.70	86.20	84.30	10.00	229.50	30.90
20UPGPQ4611174	33.70	87.20	83.80	9.50	226.50	29.40
20UPGPQ4611175	34.20	87.20	84.80	10.00	227.50	29.90
20UPGPQ4611176	34.70	89.20	84.80	9.50	229.50	29.90
20UPGPQ4611177	35.20	87.70	82.80	10.50	227.50	32.40
20UPGPQ4611178	31.70	87.70	83.80	11.50	226.50	30.40
20UPGPQ4611179	34.20	88.70	84.80	10.00	227.00	29.90
20UPGPQ4611180	33.20	87.70	83.80	11.50	228.50	30.40
20UPGPQ4611181	32.70	87.70	83.80	10.00	227.50	30.40
20UPGPQ4611182	32.20	88.20	84.30	9.50	225.50	29.40
20UPGPQ4611183	32.20	94.20	84.80	10.00	225.50	29.90
20UPGPQ4611185	35.70	94.20	83.80	10.50	229.50	32.40
20UPGPQ4611186	33.20	93.70	83.80	10.00	226.50	29.90
20UPGPQ4611187	32.70	94.20	83.30	11.00	227.00	29.90
20UPGPQ4611188	34.20	94.70	83.80	10.00	230.50	31.40
20UPGPQ4611189	35.20	96.20	83.30	11.00	236.00	32.90
20UPGPQ4611190	35.20	94.70	85.30	8.50	232.00	29.90
20UPGPQ4611191	34.20	93.70	84.80	11.00	233.00	30.90
20UPGPQ4611192	34.70	93.70	84.30	9.50	235.00	32.90
20UPGPQ4611193	34.20	93.20	83.30	10.00	230.00	31.90
20UPGPQ4611194	32.70	94.70	83.80	11.00	226.50	30.40
20UPGPQ4611195	33.20	94.20	83.30	10.50	226.00	31.90
20UPGPQ4611196	33.20	94.20	82.80	10.50	223.50	29.40
20UPGPQ4611197	33.70	93.70	84.30	11.00	230.50	31.90
20UPGPQ4611198	33.70	94.70	84.30	10.50	228.00	31.40
20UPGPQ4611199	29.70	93.20	84.80	11.50	227.50	31.40
20UPGPQ4611200	32.70	95.20	83.30	11.50	227.50	32.40
20UPGPQ4611201	35.20	94.70	83.30	12.00	233.50	33.90
20UPGPQ4611202	34.20	95.20	82.80	10.50	230.50	33.90
20UPGPQ4611203	33.70	94.70	84.30	11.50	232.00	32.40
